phase,method,n_pairs,dimension,runtime_sec,iters,f_opt,converged,grad_norm
benchmark,Newton-CG before optimization,100,200,0.006391791997884866,19,1.8216992700720705e-18,True,1.7928758283331118e-08
benchmark,Newton-CG after optimization,100,200,0.0010517090049688704,19,1.8216992700720705e-18,True,1.7928758283331118e-08
benchmark,Newton-CG before optimization,300,600,0.02617445799842244,18,4.303571738364103e-17,True,5.607191726649655e-08
benchmark,Newton-CG after optimization,300,600,0.001320291994488798,18,4.303571738364103e-17,True,5.607191726649655e-08
benchmark,Newton-CG before optimization,500,1000,0.1231223750000936,18,7.172619563940172e-17,True,7.238853392102046e-08
benchmark,Newton-CG after optimization,500,1000,0.0018449999988661148,18,7.172619563940172e-17,True,7.238853392102046e-08
main,FR + Armijo,1000,2000,0.006949292001081631,55,4.698638560704666e-11,True,6.317192010120117e-06
main,Newton-CG + Armijo,1000,2000,0.0017374999952153303,19,2.11914119481206e-17,True,6.092354987300942e-08
main,FR + Armijo,10000,20000,0.9284485419993871,158,1.1558473896039654e-10,True,9.57727416536629e-06
main,Newton-CG + Armijo,10000,20000,0.015503999995416962,19,2.11914119481206e-16,True,1.926571807415718e-07
main,FR + Armijo,30000,60000,0.9134182079942548,184,6.628907263374533e-12,True,2.7824661362722656e-06
main,Newton-CG + Armijo,30000,60000,0.08978037499764469,19,6.35742358443618e-16,True,3.336920254873827e-07
